0,1.5,0,0.001
0.1,1.6,0,0.001
0.2,1.7,0,0.001
0.3,1.8,0,0.001
0.4,1.9,0,0.001
0.5,1.9,0,0.001
0.6,2,0,0.001
0.7,2,0,0.001
0.8,2.1,0,0.001
0.9,2.2,0,0.001
1.0,2.3,0,0.001
1.1,2.3,0,0.001
1.2,2.4,0,0.001
1.3,2.4,0,0.001
1.4,2.5,0,0.001
1.5,2.5,0,0.001
1.6,2.6,0,0.001
1.7,2.7,0,0.001
1.8,2.8,0,0.001
1.9,2.8,0,0.001
2.0,2.9,0,0.001
2.1,3,0,0.001
2.2,3.1,0,0.001
2.3,3.2,0,0.001
2.4,3.2,0,0.001
2.5,3.2,0,0.001
2.6,3.2,0,0.001
2.7,3.2,0,0.001
2.8,3.2,0,0.001
2.9,3.1,0,0.001
3.0,3.1,0,0.001
3.1,3.1,0,0.001
3.2,3.1,0,0.001
3.3,3.1,0,0.001
3.4,3.1,0,0.001
3.5,3.1,0,0.001
3.6,3.0,0,0.001
3.7,3,0,0.001
3.8,3,0,0.001
3.9,3,0,0.001
4.0,3,0,0.001
4.1,3,0,0.001
4.2,2.9,0,0.001
4.3,2.9,0,0.001
4.4,2.9,0,0.001
4.5,2.9,0,0.001
4.6,2.9,0,0.001
4.7,2.9,0,0.001
4.8,2.8,0,0.001
4.9,2.8,0,0.001
5.0,2.8,0,0.001
5.1,2.8,0,0.001
5.2,2.8,0,0.001
5.3,2.8,0,0.001
5.4,2.7,0,0.001
5.5,2.7,0,0.001
5.6,2.7,0,0.001
5.7,2.7,0,0.001
5.8,2.7,0,0.001
5.9,2.7,0,0.001
6.0,2.6,0,0.001
6.1,2.6,0,0.001
6.2,2.6,0,0.001
6.3,2.6,0,0.001
6.4,2.6,0,0.001
6.5,2.6,0,0.001
6.6,2.5,0,0.001
6.7,2.5,0,0.001
6.8,2.5,0,0.001
6.9,2.5,0,0.001
7.0,2.5,0,0.001
7.1,2.5,0,0.001
7.2,2.4,0,0.001
7.3,2.4,0,0.001
7.4,2.4,0,0.001
7.5,2.4,0,0.001
7.6,2.4,0,0.001
7.7,2.4,0,0.001
7.8,2.3,0,0.001
7.9,2.3,0,0.001
8.0,2.3,0,0.001
8.1,2.3,0,0.001
8.2,2.3,0,0.001
8.3,2.3,0,0.001
8.4,2.2,0,0.001
8.5,2.2,0,0.001
8.6,2.2,0,0.001
8.7,2.2,0,0.001
8.8,2.2,0,0.001
8.9,2.2,0,0.001
9.0,2.1,0,0.001
9.1,2.1,0,0.001
9.2,2.1,0,0.001
9.3,2.1,0,0.001
9.4,2.1,0,0.001
9.5,2,0,0.001
9.6,2,0,0.001
9.7,2,0,0.001
30,9,0,0.001
50,8,0,0.001
60,7,0,0.001
100,5,0,0.001
150,7,0,0.001
200,8,0,0.001
